LOCNAME,GRADE,ANNUAL1,ANNUAL2,ANNUAL3,ANNUAL4,ANNUAL5,ANNUAL6,ANNUAL7,ANNUAL8,ANNUAL9,ANNUAL10
HI,5,34280,35422,36565,37708,38851,39994,41137,42280,43422,44565
HI,6,38210,39483,40757,42030,43303,44576,45849,47122,48395,49668
HI,7,42462,43877,45292,46708,48123,49538,50953,52369,53784,55199
HI,8,47025,48593,50161,51729,53297,54865,56433,58001,59569,61137
HI,9,51940,53671,55403,57134,58866,60597,62329,64060,65791,67523
HI,10,57198,59105,61012,62918,64825,66732,68638,70545,72452,74359
HI,11,62841,64936,67031,69126,71221,73316,75411,77507,79602,81697
HI,12,75321,77832,80343,82854,85364,87875,90386,92896,95407,97918
HI,13,89566,92552,95537,98523,101509,104494,107480,110466,113451,116437
HI,14,105841,109369,112897,116425,119953,123481,127009,130537,134065,137593
HI,15,124497,128647,132797,136947,141096,145246,149396,153546,157695,161845
HNT,1,22258,23004,23744,24480,25221,25653,26384,27124,27152,27848
HNT,2,25026,25622,26451,27152,27460,28268,29076,29884,30692,31501
HNT,3,27306,28216,29126,30036,30946,31856,32766,33676,34586,35496
HNT,4,30655,31676,32697,33719,34740,35761,36783,37804,38826,39847
HNT,5,34297,35440,36584,37727,38871,40014,41158,42301,43444,44588
HNT,6,38230,39503,40777,42051,43325,44598,45872,47146,48420,49694
HNT,7,42483,43899,45315,46731,48147,49563,50979,52395,53811,55227
HNT,8,47049,48618,50186,51755,53324,54893,56462,58030,59599,61168
HNT,9,51966,53698,55431,57163,58895,60628,62360,64092,65825,67557
HNT,10,57227,59135,61042,62950,64858,66766,68673,70581,72489,74396
HNT,11,62873,64969,67065,69161,71258,73354,75450,77546,79642,81738
HNT,12,75360,77872,80384,82896,85408,87920,90432,92944,95456,97968
HNT,13,89612,92599,95586,98573,101560,104547,107534,110522,113509,116496
HNT,14,105895,109424,112954,116484,120014,123544,127073,130603,134133,137663
HNT,15,124560,128712,132864,137016,141168,145320,149472,153623,157775,161927
HOU,1,24747,25576,26399,27217,28041,28522,29335,30157,30188,30962
HOU,2,27825,28487,29408,30188,30531,31429,32328,33226,34125,35023
HOU,3,30359,31371,32383,33395,34407,35418,36430,37442,38454,39465
HOU,4,34082,35218,36354,37489,38625,39760,40896,42032,43167,44303
HOU,5,38132,39403,40675,41946,43217,44489,45760,47031,48302,49574
HOU,6,42505,43921,45337,46753,48169,49586,51002,52418,53834,55250
HOU,7,47234,48808,50383,51957,53531,55106,56680,58254,59828,61403
HOU,8,52310,54054,55798,57543,59287,61031,62775,64520,66264,68008
HOU,9,57777,59703,61629,63555,65481,67407,69333,71259,73186,75112
HOU,10,63626,65747,67868,69990,72111,74232,76353,78474,80595,82716
HOU,11,69904,72234,74565,76895,79226,81556,83887,86217,88548,90878
HOU,12,83787,86580,89372,92165,94958,97751,100544,103337,106130,108923
HOU,13,99632,102953,106275,109596,112917,116238,119559,122880,126202,129523
HOU,14,117736,121661,125585,129510,133434,137359,141283,145208,149132,153057
HOU,15,138489,143105,147721,152338,156954,161570,164200,164200,164200,164200
IND,1,21834,22565,23291,24013,24740,25164,25881,26606,26634,27316
IND,2,24549,25134,25946,26634,26936,27729,28522,29314,30107,30900
IND,3,26785,27678,28570,29463,30356,31248,32141,33034,33926,34819
IND,4,30070,31072,32074,33076,34077,35079,36081,37083,38085,39087
IND,5,33643,34764,35886,37008,38129,39251,40372,41494,42616,43737
IND,6,37500,38750,39999,41249,42498,43748,44997,46247,47496,48746
